VariableName,VarUnits,SampleMedium,DataType,ValueType,TimeSupport,TimeUnits,Speciation,SiteName,SiteCode,Latitude,Longitude,GeneralCategory,NoDataValue
"Discharge, cubic feet per second",ft3/s,Surface water,Mean,Derived Value,1,Day,Not Applicable,"RIO GRANDE AT ISLETA LAKES NR ISLETA, NM",NWISDV:08330875,34.94666667,-106.6802778,Unknown,-999999
UTCTimeStamp,LocalTimestamp,UTCOffset,Value,MethodDescription,QualityControlLevel,ValueAccuracy,CensorCode,OffsetValue,OffsetDescription,OffsetUnit,Qualifier,QualifierDescription,SourceDescription,SourceLink,Citation
2002-10-28 07:00:00,2002-10-28 00:00:00,-7,320,unknown,Approved for publication -- Processing and review completed. | Value has been edited or estimated by USGS personnel and is write protected.,0,nc,0,,,,,U.S. Geological Survey,http://waterservices.usgs.gov/,unknown
2002-10-29 07:00:00,2002-10-29 00:00:00,-7,290,unknown,Approved for publication -- Processing and review completed. | Value has been edited or estimated by USGS personnel and is write protected.,0,nc,0,,,,,U.S. Geological Survey,http://waterservices.usgs.gov/,unknown
2002-10-30 07:00:00,2002-10-30 00:00:00,-7,305,unknown,Approved for publication -- Processing and review completed. | Value has been edited or estimated by USGS personnel and is write protected.,0,nc,0,,,,,U.S. Geological Survey,http://waterservices.usgs.gov/,unknown
2002-10-31 07:00:00,2002-10-31 00:00:00,-7,310,unknown,Approved for publication -- Processing and review completed. | Value has been edited or estimated by USGS personnel and is write protected.,0,nc,0,,,,,U.S. Geological Survey,http://waterservices.usgs.gov/,unknown
2002-11-01 07:00:00,2002-11-01 00:00:00,-7,300,unknown,Approved for publication -- Processing and review completed. | Value has been edited or estimated by USGS personnel and is write protected.,0,nc,0,,,,,U.S. Geological Survey,http://waterservices.usgs.gov/,unknown
2002-11-02 07:00:00,2002-11-02 00:00:00,-7,260,unknown,Approved for publication -- Processing and review completed. | Value has been edited or estimated by USGS personnel and is write protected.,0,nc,0,,,,,U.S. Geological Survey,http://waterservices.usgs.gov/,unknown
2002-11-03 07:00:00,2002-11-03 00:00:00,-7,240,unknown,Approved for publication -- Processing and review completed. | Value has been edited or estimated by USGS personnel and is write protected.,0,nc,0,,,,,U.S. Geological Survey,http://waterservices.usgs.gov/,unknown
2002-11-04 07:00:00,2002-11-04 00:00:00,-7,250,unknown,Approved for publication -- Processing and review completed. | Value has been edited or estimated by USGS personnel and is write protected.,0,nc,0,,,,,U.S. Geological Survey,http://waterservices.usgs.gov/,unknown
2002-11-05 07:00:00,2002-11-05 00:00:00,-7,290,unknown,Approved for publication -- Processing and review completed. | Value has been edited or estimated by USGS personnel and is write protected.,0,nc,0,,,,,U.S. Geological Survey,http://waterservices.usgs.gov/,unknown
2002-11-06 07:00:00,2002-11-06 00:00:00,-7,310,unknown,Approved for publication -- Processing and review completed. | Value has been edited or estimated by USGS personnel and is write protected.,0,nc,0,,,,,U.S. Geological Survey,http://waterservices.usgs.gov/,unknown
2002-11-07 07:00:00,2002-11-07 00:00:00,-7,290,unknown,Approved for publication -- Processing and review completed. | Value has been edited or estimated by USGS personnel and is write protected.,0,nc,0,,,,,U.S. Geological Survey,http://waterservices.usgs.gov/,unknown
2002-11-08 07:00:00,2002-11-08 00:00:00,-7,325,unknown,Approved for publication -- Processing and review completed. | Value has been edited or estimated by USGS personnel and is write protected.,0,nc,0,,,,,U.S. Geological Survey,http://waterservices.usgs.gov/,unknown
2002-11-09 07:00:00,2002-11-09 00:00:00,-7,360,unknown,Approved for publication -- Processing and review completed. | Value has been edited or estimated by USGS personnel and is write protected.,0,nc,0,,,,,U.S. Geological Survey,http://waterservices.usgs.gov/,unknown
2002-11-10 07:00:00,2002-11-10 00:00:00,-7,420,unknown,Approved for publication -- Processing and review completed. | Value has been edited or estimated by USGS personnel and is write protected.,0,nc,0,,,,,U.S. Geological Survey,http://waterservices.usgs.gov/,unknown
2002-11-11 07:00:00,2002-11-11 00:00:00,-7,380,unknown,Approved for publication -- Processing and review completed. | Value has been edited or estimated by USGS personnel and is write protected.,0,nc,0,,,,,U.S. Geological Survey,http://waterservices.usgs.gov/,unknown
2002-11-12 07:00:00,2002-11-12 00:00:00,-7,380,unknown,Approved for publication -- Processing and review completed. | Value has been edited or estimated by USGS personnel and is write protected.,0,nc,0,,,,,U.S. Geological Survey,http://waterservices.usgs.gov/,unknown
2002-11-13 07:00:00,2002-11-13 00:00:00,-7,410,unknown,Approved for publication -- Processing and review completed. | Value has been edited or estimated by USGS personnel and is write protected.,0,nc,0,,,,,U.S. Geological Survey,http://waterservices.usgs.gov/,unknown
2002-11-14 07:00:00,2002-11-14 00:00:00,-7,400,unknown,Approved for publication -- Processing and review completed. | Value has been edited or estimated by USGS personnel and is write protected.,0,nc,0,,,,,U.S. Geological Survey,http://waterservices.usgs.gov/,unknown
2002-11-15 07:00:00,2002-11-15 00:00:00,-7,380,unknown,Approved for publication -- Processing and review completed. | Value has been edited or estimated by USGS personnel and is write protected.,0,nc,0,,,,,U.S. Geological Survey,http://waterservices.usgs.gov/,unknown
2002-11-16 07:00:00,2002-11-16 00:00:00,-7,370,unknown,Approved for publication -- Processing and review completed. | Value has been edited or estimated by USGS personnel and is write protected.,0,nc,0,,,,,U.S. Geological Survey,http://waterservices.usgs.gov/,unknown
2002-11-17 07:00:00,2002-11-17 00:00:00,-7,350,unknown,Approved for publication -- Processing and review completed. | Value has been edited or estimated by USGS personnel and is write protected.,0,nc,0,,,,,U.S. Geological Survey,http://waterservices.usgs.gov/,unknown
2002-11-18 07:00:00,2002-11-18 00:00:00,-7,360,unknown,Approved for publication -- Processing and review completed. | Value has been edited or estimated by USGS personnel and is write protected.,0,nc,0,,,,,U.S. Geological Survey,http://waterservices.usgs.gov/,unknown
2002-11-19 07:00:00,2002-11-19 00:00:00,-7,340,unknown,Approved for publication -- Processing and review completed. | Value has been edited or estimated by USGS personnel and is write protected.,0,nc,0,,,,,U.S. Geological Survey,http://waterservices.usgs.gov/,unknown
2002-11-20 07:00:00,2002-11-20 00:00:00,-7,310,unknown,Approved for publication -- Processing and review completed. | Value has been edited or estimated by USGS personnel and is write protected.,0,nc,0,,,,,U.S. Geological Survey,http://waterservices.usgs.gov/,unknown
2002-11-21 07:00:00,2002-11-21 00:00:00,-7,305,unknown,Approved for publication -- Processing and review completed. | Value has been edited or estimated by USGS personnel and is write protected.,0,nc,0,,,,,U.S. Geological Survey,http://waterservices.usgs.gov/,unknown
2002-11-22 07:00:00,2002-11-22 00:00:00,-7,305,unknown,Approved for publication -- Processing and review completed. | Value has been edited or estimated by USGS personnel and is write protected.,0,nc,0,,,,,U.S. Geological Survey,http://waterservices.usgs.gov/,unknown
